,Species,Pinus/Strobus,pathogenic,position,Lips,Lip color,Apothecia (mm) average,Apothecia_length_min_mm,Apothecia_length_max_mm,Asci (um) average,Ascus_length_min_um,Ascus_length_max_um,Ascus_width_min_um,Ascus_width_max_um,Ascospores (um) average,Ascospore_length_min_um,Ascospore_length_max_um,First geographic habitat,First host species,Details,Zone lines around ascomata,Pigmented basal wall of ascocarp,Basal wall thickness of ascocarp,Basal stroma ascocarp,Ascocarp splitting open along a line of/position ,Ascocarp color,Conidiomata,Conidiomata position,Conidia shape,Conidia size ,Conidiomata basal wall,Other conidiomata details,Cultures,Herbarium deposits,Other regions this species is found,GPS coordinate,Host description/Type of host,Symptomatic needles ,Paraphyses,Similarities to/Differences from other species,Other details,Included in current study phylogeny,Available data for type,Publication,Year named
1,L. pinastri,Pinus,,partially subepidermal,present,red,"945 μm, 700-1200",0.7,1.2,134 μm 110-155 x 9.5-11.5,110,155,9.5,11.5,90 μm (70-110 x2),70,110,France,P. sylvestris,6 or more epidermal cells on base,"black, abundant",poorly developed,N/A,N/A,epidermal cells,black with a grey surround and black perimeter line,present,subepidermal,rod shaped,4.5-6.25 x 1 um,N/A,,"Slow growing, compact, white, growth ceasing before the edge of the dish is reached, producing thin black zone lines on the circumference, sometimes also black crusts on the surface, conidia often abundant, 4.5-6.25um long. Indistinguishable from cultures of L. pini-excelsae, very stimilar to cultures of L. stayeli, but growing more rapidly at 22C and with shorter conidia.",N/A,"Asia: Japan, USSR (Krasnoyarsk). Australasia: Australia (Capital Territory, Tasmania), New Zealand. Europe: Austria, Belgium, Czechoslovakia, Denmark, Finland, France, Germany, Great Britain, Greece, Holand, Ireland, Italy, Polarnd, Romania, Spain, Switzerland, USSR (Latvia), Yugoslavia. North America: Canada (Ontario), United States (Maine, Michigan, Oregan, Washington)  ","46.2276° N, 2.2137° E",,,"tips usually straight and unswollen, sometimes hooked and/or swollen",,,Yes,"ITS, LSU, ddRAD",Chevallier. Flore generale des environs de Paris 1: 436,1826
4,L. conigenum,Pinus,,partially subepidermal,present,green,900-2000 um long,0.9,2,160-215 x 11.5-14 um,160,215,11.5,14,90-130 um x 2 um,90,130,Scotland,P. sylvestris,"less than 7 epidermal cells displaced and scalled, ascocarps large, black with a grey surround and black perimeter line, 900-2000 um long","absent or infrequent, brown",present,N/A,N/A,epidermal cells,"large, black with a grey surround and black perimeter line",present,subepidermal,rod shaped,4.5-9.5 x 1 um,N/A,,"Fast growing, fluffy, white later sometimes becoming tan or occasionally brown, with swirling appearance when young, growth usually continuing until the edge of the dish is reached, sometimes producing brown diffuse zone lines on the circumference, conidia produced abundantly only on sterilised needles placed on the cultures, the same size as in vivo. Cultures of the Leptostroma varieties with longer conidia are indistinguishable from those of L. australe. Cultures of the Leptostram variety with shorter conidia differ only slightly in conidia length from cultures of L. seditiosum and may be hard to distinguish particularly when brown. ",N/A,,"57.0552° N, 2.8425° W",,,"tips sometimes straight and unswollen, sometimes hooked and/or swollen",,,Yes,ITS,"Hilitzer, Vedecke Spisy Vyddvane Jeskoslovenskou Akademii Zemedelskou 3: 76",1929
17,L. staleyi,Pinus,,partially subepidermal,present,grey,350-800 (<800 μm long),0.35,0.8,70~115 x 9~12,70,115,9,12,65~95 x 2,65,95,Oregon,P. sylvestris ,,"absent or black, rare",poorly developed,N/A,N/A,epidermal cells,black with a grey surround and black perimeter line,present,subepidermal,N/A,8-12 x 1 um,N/A,,"Slow growing, fluffy, white later becoming orange or yellow, growth always ceasing before the edge of the dish is reached, never developing zone lines on the circumference, conidia not observed.",N/A ,,"43.8041° N, 120.5542° W",,,"straight, unswollen",,,,unknown,Minter. Mycological Papers 147: 1,1981
19,L. himalayense,Pinus,,partially subepidermal,present,colorless,0·5–1·3 × 0·3–0·4 mm,0.5,1.3,75–115 × 10–12·5 µm,75,115,10,12.5,77–88 × 1–1·5 µm,77,88,"India, Sri Lanka",2- to 3-needle pines (e.g. P. kesiya),"less than five epidermal cells on bottom; Ascomata on both surfaces of dead needles though usually much more frequent on the abaxial surface, black in the centre, pale-brown to mid-grey in the outer parts, with a well-defined perimeter line, usually raising the surface of the needle except at the edges of the ascoma, 0·5–1·3 × 0·3–0·4 mm, opening by a longitudinal split extending about ¾ the length of the ascoma, the split lined with conspicuous, pale brown to grey, or colourless lips; in mid-point vertical transverse section embedded beneath the cuticle and, towards the sides of the ascoma, beneath the epidermal cells (which are not tanned),","Dark grey to black, thin, scarce, sometimes absent.","present, dark brown",N/A,N/A,N/A,"Mainly black in the center, surrounding light brown to grey. Often with black perimeter.",present,subepidermal,N/A,N/A,N/A,Conidiomata cylidrincal to long oval. 300-600 x 80-170 μm. Same color as the needle or brown.,No information. ,N/A,"P. luchuensis, P. taeda L., P. roxbourghii Sarg","India: 20.5937° N, 78.9629° E. Sri Lanka: 7.8731° N, 80.7718° E","Pinus luchuensis Mayr, P. taeda L., P. roxbourghii Sarg.",,N/A,,,Yes,"ITS, ACT, CAL, CHI, LSU, ddRAD",Cannon & Minter. Mycological Papers 155: 64,1986
28,L. iwatense,Pinus,pathogenic,partially subepidermal,present,,0.4~1.3 x 0.2~0.5 (0.82 x 0.34),0.4,1.3,99~166 x 14~20 (131 x 17),99,166,14,20,69~104 x 4 (85 x 4),69,104,Japan,P. densiflora,,absent,absent,N/A,N/A,epidermal cells,"inconspicuous, grey without a perimeter line",absent,,,,,,No information.,,,,,,,,,,unknown,Sakuyama. Trans Mycol Society Japan 34: 433-447,1993
34,L. corconticum,Pinus,pathogenic,partially subepidermal,present,colorless,"They were (815) 960–1,460 (1,680) μm long and (405) 465–665 (800) μm wide (perimeter line),",0.815,1.68,94–142 (156) μm long and 8.5–11 μm wide,94,142,8.5,11,"(61) 72.5–82.5 (88) μmlong and 1.5–2 μm wide with rounded ends",72.5,82.5,Poland,P. mugo,"Ascomata were formed immersed in the abaxial side (or rarely on the edge or the adaxial side) of needles. When dry, they were black in the centre, surrounded by a paler margin lined by an elliptical black perimeter line, rounded or slightly acute at each end, and did not significantly raise the substratum surface; when wet, they were uniformly black, shiny and raised the substratum surface. They were (815) 960–1,460 (1,680) μm long and (405) 465–665 (800) μm wide (perimeter line), opening by a longitudinal split with colourless lips. In the median vertical section, they were partly subepidermal with eight or more host epidermal cells lying in a group above the basal wall and more than two epidermal cells in the upper wall on each side","thin black, transverse, clearly defined, varied from abundant to almost absent",present,28-35 um thick,N/A,opening by a single longitudinal split,"When dry, they were black in the centre, surrounded by a paler margin lined by an elliptical black perimeter line. When wet, they were uniformly black, shiny and raised the substratum surface.",present,subepidermal,"colourless, bacilliform",3.5–6.5×1–1.5 μm,"6–9 μm thick, and consisted of colourless, angular cells","Conidiomata were formed immersed in the abaxial (rarely adaxial) side of needles, and were the same colour as the needle surface or pale grey, not raising the surface of the needles, and difficult to discern.","Isolations from attached symptomatic needles repeatedly yielded colonies that were irregular, flat with undulate margins, ranging from almost completely white or white with thin black margins to half white with thick black margins and irregular black patches. Conidiomata were sometimes produced in culture after at least two months on 2BA, and were irregular, erumpent, producing masses of conidia as grey droplets. Conidia were larger than in vivo, up to 3.5–8 μm long. Colonies growing out from symptomatic needles varied in both morphology and growth rate. Furthermore, the proportion of black margins and patches differed between strains and sometimes also changed with culture age (Fig. 3d–f). Production of conidiomata in pure cultures also differed between strains. At room temperature, some strains readily sporulated after several months (Fig. 3f); others were stimulated by cold (8 °C for at least one month) or by a sterile pine needle place on the colony surface; others remained sterile.",Division of Phytopathology and Mycology of the Plant Protection Department at WUELS,N/A,"50°44′ 28.624′′ N, 15°43′19.638′′ E, 1,370 m above sea level, on needles of Pinus mugo lying on the ground","Giant Mountains of Poland. The habitat in which this fungus was found (semi-natural relict woodland and associated plantations of native trees) suggests it is indigenous, not an introduced exotic. Pinus mugo is the only pine found in the studied area associated with this fungus, and isolations from needles of P. mugo outside this area yielded only other species of Lophodermium. L. corconticum seems to be rare and endemic on mountain pine in the Giant Mountains.","One- and two-year-old green secondary needles attached to the tree developed yellow spots with a diameter of 0.2–0.5 mm in spring just after snow melt; affected needles subsequently turned straw-yellow, died and fell prematurely as early as July. No fungal structures were seen on the attached needles. The colour of fallen needles colonized by the fungus varied, but tended to be different from that of fallen needles colonized by other fungi. Ascomatal initials were seen in spring after needle fall, and rapidly developed into fully formed ascomata.","septate, interconnected in younger ascomata, as long as the asci and 1.5–2.5 μm wide, irregularly clavate and up to 6 μm wide at the tip","The fungus differs subtly from L. pinastri, for example, in the lengths of its conidiomata, ascomata and asci, but can be reliably distinguished only by molecular data.",,,unknown,"Koukol, Pusz, & Minter. Mycological Progress 14:23",2015
35,L. pini-taiwanensis,Pinus,,partially subepidermal,present,"waxy, pale yellow","625–1000 × 312–400 μm, elliptical, grayish to black, strongly raising above thesurface of the substrate at maturity",0.625,1,"(105–160 × 7.5–11vs. 160–215 × 11.5–14 μm)",105,160,7.5,11,"57–130 × 1.5–2μm, filiform, slightly tapering towards the base, hyaline,aseptate, with many guttules, covered by an inconspicuous gelatinoussheath while they were in the ascus and for a short timeafter discharge.",57,130,China,P. taiwanensis,"Differs from other Lophodermium species on
pines by the distinctively circinate apex of paraphyses which
intertwine with each other and the broadly longitudinal slit of
the ascoma to expose the white hymenium at maturity. partially subepidermal, one or two displaced to bottom",absent,N/A,up to 8–10 μm thick,,"strongly raising above the surface of the substrate at maturity, opening by a single longitudinal and broad split to expose a slightly white hymenium, still open when dry",grayish to black,present,subepidermal,"hyaline, bacillar",3−7 × 0.8−1 μm,4−5 μm,"mainly on the abaxial side, scattered, occasionally coalescent. In surface view, conidiomata 150−575 ×75−250 μm, concolorous with substrate, sometimes with a darker margin, elliptical to elongated elliptical, slightly raised above the surface, opening by a central ostiole and/or a single longitudinal split along one side of stomatal lines. In vertical section, conidiomata subepidermal, upper wall poorly developed as to be mainly limited to a small region in the center of the conidioma but dark brown near the opening.",No information.,"Specimens are deposited in the Herbarium of the College of Life Science, Capital Normal University (BJTC). Live cultures are deposited in the culture collection of the College of Life Science, Capital Normal University (CNU).",N/A,"30.6007° N, 117.9249° E","On dead fallen needles of Pinus taiwanensis and known only from Southern Anhui Province, China.",,"130–180 × 2.5–3.5 μm, filiform, not branched, circinate at the apex, intertwining with each other, and forming a conspicuous epithecium","Differs from other Lophodermium species on pines by the distinctively circinate apex of paraphyses which intertwine with each other and the broadly longitudinal slit of the ascoma to expose the white hymenium at maturity. Similarities to L. conigenum are in the structure of ascomata and the displaced epidermal cells on the lower wall in median vertical section. In addition, the shape of conidiomata as well as the opening pattern in L. pini-taiwanensis is somewhat similar to those in L. conigenum.",,,,"Li, Taylor, & Hou. Mycological Progress 15 (12) 1229-1237",2016
3,L. australe,Pinus,,partially subepidermal or partially subhypodermal,present,grey,500-2000 um long,0.5,2,65-150 x 8-12 um,65,150,8,12,55-120 x 2 um,55,120,Florida,P. palustris,less than 5 epidermal or hypodermal cells displaced,absent,absent,,N/A,epidermal cells,"thin, black sometimes with a gaint grey surround but without a perimeter line",present,subepidermal,rod shaped,6.25-9 x 1 um,N/A,,"Fast growing, fluffy, white later sometimes becoming tan or occasionally brown, with swirling appearance when young, growth usually continuing until the edge of the dish is reached, conidia produced abundantly only on sterilised needles placed on the cultures, the same size as in vivo. Indistinguishable from cultures of varieties of L. conigenum with longer conidia. ",N/A,,"29.2180° N, 82.0561° W",,,"tips sometimes straight and unswollen, sometimes hooked and/or swollen",,,Yes,"ITS, ACT, CAL, CHI, LSU, ddRAD",Dearness. Mycologia 18: 242–243,1926
5,Elytroderma deformans,Pinus,pathogenic,partially subhypodermal or subhypodermal,present,,"350-450 u wide, 175-260 u deep (closed), long slits, variable lengths, 1-7 mm long",1,7,140-240 x 30-45 u,140,240,30,45,90-118 x 6-8 u,90,118,Oregon,P. ponderosa,"two-celled ascospores, Hysterotheci a black, short elliptica l to elongated, subepidermal; hymenium
concave ; subhymenia l laye r comparativel y thin , colorless. Asc i fusiformclavate. Paraphyse s simple , filiform. Ascospores large, fusiform, fasciculate,
2-celled. Pycnidi a simple, concolorous. subepidermal in the darkened centrla region but becoming subhypodermal at the margins of the pustules",N/A,N/A,25-32 um,basal and laterial plectenchyma layer present (thick),epidermal cells,darkened central region,present,,bacillar,0.4-0.6 x 4-6 um,N/A,,N/A,"(1) Arnold Arboretum, Pathological Hood River County, Oregon. (2) Herbarium J. S. Boyce. (3) Herbarium J. H. Faull. (4) Herbarium Office of Forest Pathology, San Francisco, California.",British Columbia to California and east to Colorado with two isoolated stations in Georgia and Northern Ontario,"44.7457° N, 118.2022° W",,,"filiform--about 2 um in width, swollen at tips, about as long as long as the asci, 2 to 3-septate",,partially subhypodermal at the margins,Yes,"ITS, SSU",Darker. Contr. Arnold Arb. 1: 87,1932
14,L. indianum,Pinus,,partially subhypodermal,present,grey,700-1100 um,0.7,1.1,80-130 x 9-12 um,80,130,9,12,70-100 x 2 um,70,100,India,P. roxburghii,"ascocarps black with a grey surround and black perimeter line, 1-4 epidermal cells being displaced","black, infrequent to abundant",present,N/A,N/A,epidermal cells,black with a grey surround and black perimeter line,absent,,,,,,No information,N/A,,"26.8467° N, 80.9462° E",,,tips slightly swollen and bent,,,Yes,partial ITS2,Minter. Mycological Papers 147: 1,1981
